id,cc_cons
6975,2190.785521141704
43223,7111.036538408883
45502,1467.999227892259
12368,3333.58196400239
40415,6261.998835300069
31659,3404.9146692548848
19585,1581.4508673490093
11889,2063.3819536222577
43494,5422.864344323305
2536,1066.0264142488215
16896,2135.7915540514396
23422,10037.46674388669
31074,5076.246318181547
32409,4808.432507804461
29846,583.7042581287322
4046,7306.453412190327
41350,742.8705102941949
24530,1950.3722165630916
20128,1142.669199998995
25389,3635.2521743005054
8913,11272.279574876282
41126,1220.1267813659388
19678,5153.743690931509
1907,3041.500728912733
22003,9450.35597150662
1177,1337.3743515529861
13941,1699.270302834885
19473,2644.9306115487925
42500,1402.063846655825
3878,2592.5396140304406
8973,3193.164219102748
9938,2335.605630062519
38581,647.3358182987612
41728,2743.654442871543
42180,2136.9958476920274
23022,1452.6058245179158
29322,3793.0914294112263
38371,2793.9523085281503
14582,5782.352162361621
37012,1965.9988028139862
7993,5058.274819249477
32720,1621.1747859870452
46172,9232.047307061557
2646,10108.816101140861
12238,6149.805122716775
17793,4311.247751836385
1661,4161.834506273219
30028,1267.0190243778895
38142,2653.5535400725043
21187,1216.1637419156725
32066,1702.506763557797
39689,4472.9133608351085
44715,5848.170274866507
766,1497.1398498148608
38216,2217.204906116616
10622,10752.993747797369
42913,4116.032308827281
18904,3603.872315725237
19555,773.8948918258898
24285,2367.5975469563687
13852,4699.206398382005
22599,9905.249245741212
18045,4717.765633337165
33600,1289.5360755435363
18103,9085.127589191856
7314,3935.643312693203
26516,5005.509860660676
46770,1502.2865597775192
9126,3904.3878912350556
46819,7554.184738757856
10517,1880.784664846474
45647,2194.9713042694975
26740,1954.2694581286476
42782,1854.0003090242656
12493,2599.0481138714304
27311,4142.375746180151
11428,1997.8192248096975
24193,2696.084291324568
22723,1096.0704353440658
14362,1598.8663904165319
17572,13234.98474846954
26477,10161.924513770833
21283,2560.5410121113764
7599,2787.933951696618
33989,1397.1482946236065
14945,803.515736444619
18531,3474.8758206937064
34513,3646.657716862345
12426,2705.9226186177057
41416,1801.8278827082404
31245,3542.649796713608
980,1790.3289273461933
7462,1294.2139905263573
26616,3132.974810334833
1197,9083.263718191574
11644,7105.172697942593
8146,2954.2076658363567
29429,842.3048848073524
24599,1523.1060586011504
30209,820.8939258757179
11455,4588.671147235063
27200,1562.2206937849278
2399,3086.4686590104516
45233,3232.098687743515
10849,1600.2639134367348
115,1649.3347177918868
31237,907.5178033153805
21669,7822.742434609251
9174,2126.484205900431
27083,1042.2685015930276
7213,5450.131004554487
28851,3279.60870711968
42749,5589.263603148755
16742,3828.6379010109968
35267,4366.686634353489
43984,1345.3286077276962
7010,7159.651563869329
14426,913.3239248018073
19816,2510.1445684376595
39466,2111.9237010270854
18829,2404.036115457222
14473,3978.5658304446088
46767,2838.716168684676
45144,1633.561763788708
44345,23562.487272015045
11714,3981.0320598315484
13403,3906.0391861891044
31814,1843.2746644570743
43508,3804.8888780912166
23906,3707.5567288220604
2811,1382.3013922083344
40103,4965.045352813646
18600,3499.7084744166577
4014,6191.369094406692
13951,4484.788950690737
15102,1192.918886750829
32381,10873.317333500418
3813,9755.274162902106
28707,7913.385176565389
349,1887.6535833329388
12470,2916.8865342899753
19094,2909.697565253833
7929,7270.0289903581715
46048,3574.4750642945796
17261,5047.334287243552
46725,6943.533684082458
43947,3540.3648308266265
17002,4035.98709975349
17779,1644.9668290649406
42113,4860.743415609711
35665,1245.849903639346
18909,1025.5482227874616
20179,1314.7159838961086
11405,4790.251741836522
33245,2361.4696650467467
18703,1990.419616306872
27819,2234.2481663152976
45040,11191.582929924667
43672,2362.519263046475
7487,5114.161129396517
23293,2990.163194859002
9722,3461.2479558633545
19191,6212.628031007424
33640,1140.857250744572
15760,2062.6844759617975
3239,956.6707886375523
7870,4267.134442174356
6688,3992.2148461205593
43489,3255.76212812087
44820,6213.878101429638
39063,2706.9456049757264
2786,1187.6434430754603
32090,3037.6438320066295
29498,9269.366076675315
9932,6063.907323450223
1603,3857.5282211783356
16911,2980.0085197292083
42880,2314.286978858148
35345,2514.3999777027757
5669,4205.35472158492
540,3255.339709555985
15257,5629.588085241032
46065,1582.9773898831231
35233,2176.8235164078947
39124,1574.1719925405778
3078,1533.796612808872
11166,1976.003347701977
23888,3226.6719341490775
1764,583.5714682241778
32624,1816.4318828326245
40688,3060.4218226172925
43431,4491.597135631467
36001,2794.5791356468735
46485,2841.5577032690667
22511,1484.3629710749383
43122,1005.4413614100905
26286,2133.3032587112875
42183,1909.850840773617
38290,1501.7802281162474
19009,1592.7617548237884
16891,1193.1142591804555
40752,3244.051621180251
24661,2759.702744780795
35672,1749.0347362502475
26540,12987.586449258773
46267,2056.0032515453895
6241,1208.745092723877
9430,2145.4775114714207
9346,1290.7347096645735
14187,3070.4255549446284
43717,1094.6908175527124
33800,2873.186767981528
13659,870.8296071636607
34065,953.4679176661459
20311,2778.4468188323312
14862,13202.705757548885
32534,1629.5338732526473
45483,1696.894670561307
17060,1463.0743717822652
22610,1373.7609463227072
5730,8761.766554461712
11618,2824.8795879034565
32612,1052.7882061130467
37501,3163.6904119366377
20402,4663.215749909534
25172,7958.1069755600965
29751,4300.25695126072
28110,4700.79624092583
9414,775.7549227005218
36448,3116.5168274953285
43249,1355.5255605869856
27037,3083.419977690587
45457,1512.3631562994028
2730,3182.9030065604597
15069,9188.880971634579
37020,3077.3699070920507
11641,5329.415136063946
21182,4722.023842956137
40538,1669.7798987186961
37459,4316.325419056089
38762,1142.760716277921
36698,960.6597623699026
44287,9801.615839231199
748,2561.2513088522883
8029,8278.238323026833
18867,3033.7950200402206
6783,1159.5529527463364
18325,8214.076051565235
40462,3468.9542771365054
13380,940.7920798527963
33060,4209.340501108425
37739,1075.7015565047977
39637,8201.630632094593
36528,4475.519214771882
37258,1206.4887852883403
6826,7070.565354390304
25874,901.0247272886444
34733,1942.4477328201845
585,921.9669309752833
11908,2953.5870593506584
25725,1461.7066470604402
11540,2100.649240319046
46396,2108.8453608393816
28322,2844.059525865972
18382,5026.895698866391
9507,10723.258007086515
10942,1826.9732888133633
31220,1711.7920591323007
1190,1031.333033600114
13723,4277.082013546961
28899,2107.155597469805
44063,2971.1540611143946
35700,2409.588882142804
24170,1834.8378269086245
1609,4870.11182232114
17549,2776.3924354946857
46749,2665.094301622098
33920,1473.607110567697
36734,1756.9976588527782
45250,2557.798855410795
30114,1986.7530590617496
36979,5398.911872931528
36199,2622.5202792949
15539,3641.5583673416513
6082,5506.334538767631
15586,4774.597256857575
17325,2374.4822607009164
32459,10031.501600714697
8808,2355.973666651398
32429,2993.663378744263
26739,3744.0731879420055
32641,2058.64911458325
12104,3591.1888024456152
5986,5727.529300949401
39650,4966.549552354534
40848,2733.8809504233495
12472,529.5400562478591
20762,4746.660537706949
39422,2071.9064378338226
14822,2389.8624844532364
37142,5406.994605778154
3205,5519.644766897513
21640,3881.7164204112846
2234,979.5596530539892
23606,5251.744052903087
17423,2838.919415691456
40828,3385.1412400360196
33985,2015.744225325655
45721,955.1505271102412
40436,4390.983700249056
15813,2476.2818175132184
14092,12011.40159742993
30509,6863.596216306646
